,fit_time,score_time,test_score,classifier
0,0.27806854248046875,0.011960268020629883,0.8070833333333334,lm
1,0.26171183586120605,0.009966373443603516,0.8086904761904762,lm
2,0.27820277214050293,0.009972333908081055,0.8058928571428572,lm
3,0.2616097927093506,0.008975744247436523,0.8017063492063492,lm
0,0.37570929527282715,0.01495504379272461,0.7855753968253968,dt
1,0.362750768661499,0.012968063354492188,0.7667857142857143,dt
2,0.3725893497467041,0.011963367462158203,0.8246428571428571,dt
3,0.36472201347351074,0.011972904205322266,0.8145039682539682,dt
0,3.3482165336608887,0.4329957962036133,0.8844642857142857,rf
1,3.406306505203247,0.413909912109375,0.8811507936507936,rf
2,3.331026554107666,0.4203484058380127,0.8808531746031746,rf
3,3.34330415725708,0.42076659202575684,0.8817063492063492,rf
0,4.9812493324279785,0.05282163619995117,0.8821626984126985,xgb
1,4.817800045013428,0.04982757568359375,0.8829960317460317,xgb
2,4.8732428550720215,0.04982924461364746,0.885,xgb
3,4.884519100189209,0.049386024475097656,0.8831349206349206,xgb
0,15.116934061050415,0.6775898933410645,0.8715873015873016,ada
1,15.356034278869629,0.6615095138549805,0.8738888888888889,ada
2,14.962933540344238,0.6365880966186523,0.8745436507936508,ada
3,15.394682884216309,0.6433184146881104,0.8745833333333334,ada
0,19.861395597457886,0.21746349334716797,0.8857738095238096,gb
1,19.42198634147644,0.19537639617919922,0.8879166666666667,gb
2,19.60629105567932,0.2028675079345703,0.8877579365079366,gb
3,19.6077241897583,0.20340394973754883,0.8865277777777778,gb
0,0.24318718910217285,0.01957225799560547,0.659047619047619,gaus
1,0.2357501983642578,0.01799464225769043,0.6625198412698413,gaus
2,0.24025750160217285,0.018941402435302734,0.6468849206349206,gaus
3,0.23726296424865723,0.0189363956451416,0.663531746031746,gaus
0,4.136795997619629,9.408777713775635,0.8735714285714286,knn
1,4.16546893119812,9.178905248641968,0.8751190476190476,knn
2,4.093032121658325,9.340542078018188,0.8753373015873016,knn
3,4.113950490951538,9.518499374389648,0.8753174603174603,knn
