,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
3,7.695699632167816,0.5722332687124366,0.06304919719696045,0.007914508778919119,200,{'clf__n_estimators': 200},0.8858333333333334,0.8845833333333334,0.8852380952380953,0.8849206349206349,0.8851438492063493,0.00046050877763421125,1
4,9.633573055267334,0.10975723696562219,0.058466970920562744,0.0035530645355753986,250,{'clf__n_estimators': 250},0.8848412698412699,0.8852777777777778,0.8863690476190477,0.8836706349206349,0.8850396825396825,0.0009666384844850839,2
2,6.118962049484253,0.4269630581609854,0.06453323364257812,0.021358293740587408,150,{'clf__n_estimators': 150},0.8832738095238095,0.883829365079365,0.885515873015873,0.8856746031746032,0.8845734126984128,0.00104204452708236,3
5,11.536195755004883,0.13204644229507198,0.06793361902236938,0.0022071461845486564,300,{'clf__n_estimators': 300},0.8831349206349206,0.8841865079365079,0.8843849206349207,0.8840873015873015,0.8839484126984126,0.0004817385135785452,4
6,13.25795304775238,0.07272315039936512,0.08440536260604858,0.008183299405017306,350,{'clf__n_estimators': 350},0.8833531746031746,0.8835912698412698,0.8840674603174603,0.8836706349206349,0.8836706349206349,0.0002571722499368087,5
1,4.414087772369385,0.06185277279842088,0.06677639484405518,0.033437395538410505,100,{'clf__n_estimators': 100},0.883234126984127,0.88375,0.883452380952381,0.8826190476190476,0.8832638888888888,0.00041489134258585126,6
7,15.214141607284546,0.08673364295526105,0.09246766567230225,0.007881409421704304,400,{'clf__n_estimators': 400},0.8822023809523809,0.8835714285714286,0.8839285714285714,0.8829761904761905,0.883169642857143,0.0006539158494857169,7
8,16.588890194892883,0.4817160721768492,0.08002233505249023,0.016506216455833753,450,{'clf__n_estimators': 450},0.8817857142857143,0.8824007936507936,0.882797619047619,0.8817261904761905,0.8821775793650793,0.0004448550310800402,8
0,2.613715708255768,0.024294157898206586,0.056913554668426514,0.02010799932712747,50,{'clf__n_estimators': 50},0.8759523809523809,0.8730555555555556,0.8737896825396826,0.870813492063492,0.8734027777777778,0.0018354247072912267,9
